"PROGRAM","VERSION","DATE","TYPE","SOURCE","FAKETAD","TARGET","SYSTEM","ORIGIN","CREDIT","BANNER","BANNER1","ICON_ALT","DANGER","PUBLISHED","UNDUMPED","TITLE","DESC"
"NandFiler","v11288","_20100204","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11288","_20100204","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11323","_20100426","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11323","_20100426","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11364","_20100715","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11364","_20100715","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11414","_20110420","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11414","_20110420","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11437","_20111209","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11437","_20111209","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","exported","_20111212","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFirmWriter","","","","https://github.com/rvtr/TwlIPL/tree/trunk/build/systemMenu_tools/NandFirmWriter","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Nand Firm Writer","","","","TRUE","TRUE","NandFirmWriter","Bootloader (stage2) installer"
"NandFirmWriter_ntrboot","","","","https://github.com/rvtr/TwlIPL/tree/trunk/build/gcdfirm/memory-launcher-writer","","Stage2","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","TRUE","TRUE","NAND Firm Writer","ntrboot stage2 installer"
"NandInitializer","","","","https://github.com/rvtr/TwlIPL/tree/trunk/build/systemMenu_tools/NandInitializerRed","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Nand Initializer","","","","TRUE","TRUE","NandInitializer","NAND setup tool"
"NANDSoundPlayer","v0_regionfree","","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","TRUE","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0_regionfree","","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0","","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0","","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSweeper","Secure","_20090212a","srl","","","CARD","TWL (DSi)","- Gigaleaks (TwlToolRED)","N/A","NINTENDO DSi™","Demonstration","","high","TRUE","","NAND Sweeper","SD & NAND read/write tests"
"NANDSweeper","","_20090212a","srl","","","CARD","TWL (DSi)","- Gigaleaks (TwlToolRED)","N/A","NINTENDO DSi™","Demonstration","","high","","","NAND Sweeper","SD & NAND read/write tests"
"NCFGCrusher","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/Internet/NCFGCrusher","","CARD","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NCFG Crusher","","","","TRUE","","NCFG Crusher","WiFi config deletion"
"Nitro_EVA","v0.0.3","_20040617","zip","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","TRUE","","Nitro EVA","DS factory tests"
"Nitro_EVA","v1.0","_20040818","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v5.1","_20050621","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v6.0","_20051111","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v8.0","_20061205","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v9.0","_20070409","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v10.0","_20080617","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v11.0","_20101027","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v11.1","_20111208","srl","","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"NotLaunch","ALL","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/NotLaunch","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","TRUE","","NotLaunch","Hidden launcher app demo"
"NotLaunch","ALL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","America","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","America","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Australia","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Australia","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Europe","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Europe","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Japan","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"NotLaunch","Japan","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DS™","Demonstration","","","","","NotLaunch","Hidden launcher app demo"
"PhotoChecker","v1.4","","srl","","","CARD","TWL (DSi)","- Nintendo Developer Portal (Twl SDK)","N/A","PhotoChecker V1.4","","","","TRUE","","PhotoChecker","Photo checker"
"PictoChat","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/systemMenu_RED/PictoChat","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","PICTOCHAT(EN)","","","","TRUE","","PictoChat (prototype)","Prototype PictoChat"
"PictoChat","v0","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","PICTOCHAT(EN)","","","","","","PictoChat (prototype)","Prototype PictoChat"
"rtcedit","v0","","srl","","","CARD","NTR (DS)","- Unknown","N/A","NINTENDO DS™","Demonstration","","","","","rtcedit","RTC editor"
"SaveDataTest","SEQURE","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/MakerTitle/SaveData","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer SEQURE","Region:EN","","","","","SaveDataTest","Save data tests"
"SaveDataTest","SEQURE","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer SEQURE","Region:EN","","","","","SaveDataTest","Save data tests"
"SaveDataTest","TARGET","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer TARGET","Region:EN","","","","","SaveDataTest","Save data tests"
"SaveDataTest","TARGET","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer TARGET","Region:EN","","","","","SaveDataTest","Save data tests"
"SaveDataTest","USER","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer USER","","","","","","SaveDataTest","Save data tests"
"SaveDataTest","USER","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","DispVer USER","","","","","","SaveDataTest","Save data tests"
"sd2photo","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/Jpeg/SdToPhoto","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","SD to Photo","","","","TRUE","","sd2photo","SD to NAND photo copier"
"SDMC_Launcher","Dev","_20080821","nand","https://github.com/rvtr/TwlIPL/tree/trunk/build/nandfirm/sdmc-launcher","","Stage2","TWL (DSi)","- Gigaleaks (TwlIPL)<br>- TWL EVA","BrolyBroMan","","","","high","TRUE","","SDMC Launcher","SD booter stage2"
"SDMC_Launcher","Prod","_20080821","nand","","","Stage2","TWL (DSi)","- Gigaleaks (TwlIPL)<br>- TWL EVA","N/A","","","","high","","","SDMC Launcher","SD booter stage2"
"copy_dst","","","","https://github.com/rvtr/TwlToolsRED/tree/master/build/tools/sctools/copy_dst","","CARD","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","RepairTool Restore","","","","TRUE","TRUE","Repaire Tool RESTORE","NAND restore tool"
"copy_org","","","","https://github.com/rvtr/TwlToolsRED/tree/master/build/tools/sctools/copy_org","","CARD","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","RepairTool Backup","","","","TRUE","TRUE","Repaire Tool BACKUP","NAND backup tool"
"RVLBoardChecker","v7.2","_20070629","srl","","","CARD","NTR (DS)","- Foxconn","j4m13c0, and XX_750000 for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","","","","RVL CPU Board Sequencer","Wii hardware tester"
"RVLBoardChecker","v12.2","_20100303","srl","","","CARD","NTR (DS)","- Foxconn","j4m13c0, and XX_750000 for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","","","","RVL CPU Board Sequencer","Wii hardware tester"
"RVLBoardChecker","v13","_20110809","srl","","","CARD","NTR (DS)","- Foxconn","j4m13c0, and XX_750000 for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","","","","RVL CPU Board Sequencer","Wii hardware tester"
"Shop","thumb","_20090729","srl","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"Shop","thumb","_20090729","tad","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"Shop","v1536","_20090729","srl","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"Shop","v1536","_20090729","tad","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"Shop","v14231","_20091001","srl","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"Shop","v14231","_20091001","tad","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)<br>- Gigaleaks (from_Nintendo.rar)","N/A","Nintendo DSi Shop","Nintendo","","","","","Shop","Debug DSi Shop"
"SimpleApp","v0","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SimpleApp","v0_arm7flxbreak","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SimpleApp","v0_arm7ltdbreak","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SimpleApp","v0_arm9flxbreak","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SimpleApp","v0_arm9ltdbreak","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SimpleApp","v0_headerbreak","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","simple","","","","","","SimpleApp","Launcher jump test"
"SoftKeyboard","v0","","srl","","","CARD","NTR (DS)","- Nintendo Developer Portal (NitroSample SoftKeyboard)","N/A","NINTENDO DS™","Demonstration","","","TRUE","","Soft Keyboard","SDK keyboard demo"
"sysmenuVersion","v1.0-all","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-all","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-aus","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-aus","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-eur","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-eur","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-jpn","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-jpn","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-usa","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"sysmenuVersion","v1.0-usa","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","Version Data","System version datafile"
"SystemLogReader","","","","https://github.com/rvtr/TwlIPL/tree/trunk/build/systemMenu_tools/SystemLogReader","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","SystemLog Reader","","","","TRUE","TRUE","SystemLogReader","System menu debug tool"
"tcl_2","v0","","srl","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)","N/A","tcl-2","","","","TRUE","","tcl_2","ROM to NAND photo copier"
"tcl_2","v0","","tad","","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)","N/A","tcl-2","","","","","","tcl_2","ROM to NAND photo copier"
"TitleList","A_NORMAL","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/MakerTitle/TitleList","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList A","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","A_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList A","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","B_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList B","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","B_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList B","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","C_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList C","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","C_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList C","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","D_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList D","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","D_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList D","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","E_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList E","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","E_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList E","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","F_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList F","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","F_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList F","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","G_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList G","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","G_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList G","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","H_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList H","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","H_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList H","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","I_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList I","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","I_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList I","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","J_NORMAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList J","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","J_NORMAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList J","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","A_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList A","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","A_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList A","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","B_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList B","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","B_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList B","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","C_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList C","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","C_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList C","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","D_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList D","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","D_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList D","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","E_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList E","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","E_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList E","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","F_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList F","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","F_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList F","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","G_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList G","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","G_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList G","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","H_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList H","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","H_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList H","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","I_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList I","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","I_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList I","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","J_SPECIAL","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList J","Region:EN","","","","","TitleList","Shared save data tests"
"TitleList","J_SPECIAL","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TitleList J","Region:EN","","","","","TitleList","Shared save data tests"
"TmpJumpChecker","v10989","","srl","","","NAND","TWL (DSi)","- Nintendo Developer Portal (DSi TrialSoftPackage)","N/A","TwlJumpChecker","","","","","","TWL JumpChecker","SRL jump test"
"TmpJumpChecker","v10989","","tad","","","NAND","TWL (DSi)","- Nintendo Developer Portal (DSi TrialSoftPackage)","N/A","TwlJumpChecker","","","","","","TWL JumpChecker","SRL jump test"
"TMPJumpTest","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/TMPJump","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","TMP JumpTest",""
"TMPJumpTest","v0","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","TMP JumpTest",""
"TWL_EVA_AGING","v1.0","_20080626","srl","","","CARD","TWL (DSi)","- Foxconn","March42","NINTENDO DSi™","Demonstration","","medium","TRUE","","TWL EVA AGING","DSi factory tests"
"TWL_EVA_CAMERA","v2.1","_20081127","srl","","","CARD","TWL (DSi)","- Foxconn","- March42, HudU, ufo, Normmatt, Rezrospect, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a><br>- j4m13c0","NINTENDO DSi™","Demonstration","","medium","TRUE","","TWL EVA CAMERA","DSi camera tester"
"TWL_EVA_CAMERA","ASSY_v2.1","_20081127","srl","","","CARD","TWL (DSi)","- Foxconn","- March42, HudU, ufo, Normmatt, Rezrospect, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a><br>- j4m13c0","NINTENDO DSi™","Demonstration","","medium","","","TWL EVA CAMERA","DSi camera tester"
"TWL_EVA_FINAL","v3.0","_20090702","srl","","","CARD","TWL (DSi)","- Foxconn","- March42, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a><br>- j4m13c0","NINTENDO DSi™","Demonstration","","medium","TRUE","","TWL EVA FINAL","DSi factory tests"
"TWL_EVA_FINAL","v3.1","_20091119","srl","","","CARD","TWL (DSi)","- Foxconn","- March42, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a><br>- j4m13c0","NINTENDO DSi™","Demonstration","","medium","","","TWL EVA FINAL","DSi factory tests"
"TWL_EVA_FLICKER","v1.0","_20080905","srl","","","CARD","TWL (DSi)","- Foxconn","Unspecified","NINTENDO DSi™","Demonstration","","medium","TRUE","","TWL EVA FLICKER","DSi screen tester"
"TWL_EVA_IMPORT","EUR_v1.3","_20091106","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","TRUE","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","JPN_v1.5","_20090820","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","USA_v1.3","_20090820","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","USA_B_v1.0","_20090910","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","UTL_EUR_v1.0","_20091102","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","UTL_EUR_v1.1","_20100312","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","UTL_EUR_v1.2","_20100514","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","UTL_JPN_v1.1","_20100203","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
"TWL_EVA_IMPORT","UTL_JPN_A_v1.0","_20100119","srl","","","CARD","TWL (DSi)","- Foxconn","j4m13c0 and Mecasacax","NINTENDO DSi™","Demonstration","","high","","","TWL EVA IMPORT","DSi final firmware installer"
